"year_month","product_category_en","price_bucket","order_count","total_revenue","avg_price","updated_at"
"2017-02","perfumery","C. 150-500",17,5686.299999999999,334.4882352941176,"2026-05-28 10:53:44"
"2017-02","pet_shop","A. 0-50",11,440.69,40.06272727272727,"2026-05-28 10:53:44"
"2017-02","pet_shop","B. 50-150",25,2109.29,84.3716,"2026-05-28 10:53:44"
"2017-02","pet_shop","C. 150-500",2,354.9,177.45,"2026-05-28 10:53:44"
"2017-02","pet_shop","D. 500+",1,679.99,679.99,"2026-05-28 10:53:44"
"2017-02","small_appliances","A. 0-50",2,39.99,19.995,"2026-05-28 10:53:44"
"2017-02","small_appliances","B. 50-150",9,805.53,89.50333333333333,"2026-05-28 10:53:44"
"2017-02","small_appliances","C. 150-500",13,2595.26,199.63538461538462,"2026-05-28 10:53:44"
"2017-02","small_appliances","D. 500+",4,3810.8,952.7,"2026-05-28 10:53:44"
"2017-02","sports_leisure","A. 0-50",54,1858.1,34.40925925925926,"2026-05-28 10:53:44"
"2017-02","sports_leisure","B. 50-150",75,7041.44,93.88586666666666,"2026-05-28 10:53:44"
"2017-02","sports_leisure","C. 150-500",19,4574.45,240.76052631578946,"2026-05-28 10:53:44"
"2017-02","sports_leisure","D. 500+",2,2268.99,1134.495,"2026-05-28 10:53:44"
"2017-02","stationery","A. 0-50",3,80.1,26.7,"2026-05-28 10:53:44"
"2017-02","stationery","B. 50-150",9,762.9000000000001,84.76666666666668,"2026-05-28 10:53:44"
"2017-02","stationery","C. 150-500",7,1498.3999999999999,214.05714285714285,"2026-05-28 10:53:44"
"2017-02","tablets_printing_image","B. 50-150",8,792,99,"2026-05-28 10:53:44"
"2017-02","telephony","A. 0-50",72,1574.43,21.867083333333333,"2026-05-28 10:53:44"
"2017-02","telephony","B. 50-150",34,3987.79,117.28794117647058,"2026-05-28 10:53:44"
"2017-02","telephony","C. 150-500",1,209.99,209.99,"2026-05-28 10:53:44"
"2017-02","telephony","D. 500+",1,949,949,"2026-05-28 10:53:44"
"2017-02","toys","A. 0-50",27,1107.59,41.02185185185185,"2026-05-28 10:53:44"
"2017-02","toys","B. 50-150",31,2908.37,93.81838709677419,"2026-05-28 10:53:44"
